,allow_forking,commit_count,created_at,forks,github_pages,license,name,open_issues,size,star_count,topics_count,total_issue_count,updated_at,url,watchers_count,contributor_count
50,1.0,1564,2015-07-11T08:43:37Z,412.0,0.0,MIT License,File-New-Project/EarTrumpet,105.0,34806.0,5849.0,7.0,709.0,2022-05-27T20:06:11Z,https://github.com/File-New-Project/EarTrumpet,5849.0,26
51,1.0,771,2014-08-16T05:08:26Z,1183.0,1.0,MIT License,scikit-learn-contrib/imbalanced-learn,48.0,22017.0,5883.0,5.0,494.0,2022-05-27T23:54:48Z,https://github.com/scikit-learn-contrib/imbalanced-learn,5883.0,63
52,1.0,425,2018-04-21T12:23:48Z,491.0,0.0,MIT License,huri000/SwiftEntryKit,56.0,46240.0,5866.0,15.0,249.0,2022-05-26T02:46:34Z,https://github.com/huri000/SwiftEntryKit,5866.0,25
53,1.0,560,2017-01-08T20:35:48Z,577.0,0.0,MIT License,webslides/WebSlides,66.0,3073.0,5860.0,9.0,152.0,2022-05-25T13:49:02Z,https://github.com/webslides/WebSlides,5860.0,16
54,1.0,35,2019-06-19T08:16:46Z,1156.0,0.0,Apache License 2.0,zihangdai/xlnet,186.0,2990.0,5883.0,3.0,256.0,2022-05-26T15:08:04Z,https://github.com/zihangdai/xlnet,5883.0,11
55,1.0,21,2014-10-02T09:31:56Z,1662.0,0.0,Other,me115/design_patterns,47.0,5122.0,5845.0,0.0,0.0,2022-05-27T14:44:04Z,https://github.com/me115/design_patterns,5845.0,2
56,1.0,4877,2013-06-09T06:34:28Z,1481.0,0.0,Other,RubyLouvre/avalon,204.0,119904.0,5845.0,0.0,0.0,2022-05-26T14:25:14Z,https://github.com/RubyLouvre/avalon,5845.0,68
57,1.0,513,2013-03-14T17:15:43Z,711.0,0.0,MIT License,mafintosh/peerflix,138.0,317.0,5877.0,0.0,0.0,2022-05-27T03:47:17Z,https://github.com/mafintosh/peerflix,5877.0,63
58,1.0,89,2020-04-08T15:31:45Z,923.0,0.0,Other,vt-vl-lab/3d-photo-inpainting,59.0,133262.0,5924.0,2.0,0.0,2022-05-28T08:35:12Z,https://github.com/vt-vl-lab/3d-photo-inpainting,5924.0,5
59,1.0,1057,2010-09-21T11:41:26Z,3436.0,0.0,Apache License 2.0,rabbitmq/rabbitmq-tutorials,6.0,4574.0,5842.0,2.0,0.0,2022-05-27T15:55:35Z,https://github.com/rabbitmq/rabbitmq-tutorials,5842.0,131
60,1.0,470,2015-06-20T17:21:24Z,494.0,0.0,MIT License,Clipy/Clipy,206.0,120931.0,6018.0,6.0,0.0,2022-05-28T06:01:34Z,https://github.com/Clipy/Clipy,6018.0,16
61,1.0,114,2018-02-23T06:31:20Z,3209.0,0.0,Not Found,princewen/tensorflow_practice,46.0,115237.0,5954.0,0.0,0.0,2022-05-27T12:47:30Z,https://github.com/princewen/tensorflow_practice,5954.0,3
62,1.0,642,2018-11-21T21:05:14Z,214.0,0.0,Apache License 2.0,remoteinterview/zero,70.0,6140.0,5842.0,9.0,0.0,2022-05-27T13:09:07Z,https://github.com/remoteinterview/zero,5842.0,17
63,1.0,885,2021-10-25T11:47:38Z,423.0,0.0,Other,DouyinFE/semi-design,133.0,16718.0,5839.0,6.0,0.0,2022-05-27T17:59:42Z,https://github.com/DouyinFE/semi-design,5839.0,72
64,1.0,689,2017-08-21T14:12:02Z,903.0,1.0,Not Found,HcySunYang/vue-design,91.0,8621.0,5872.0,0.0,0.0,2022-05-28T10:58:16Z,https://github.com/HcySunYang/vue-design,5872.0,64
65,1.0,1156,2015-03-22T11:32:47Z,999.0,1.0,MIT License,zhongsp/TypeScript,4.0,5851.0,5836.0,11.0,0.0,2022-05-27T14:44:11Z,https://github.com/zhongsp/TypeScript,5836.0,51
66,1.0,1594,2008-04-18T13:16:06Z,595.0,1.0,MIT License,norman/friendly_id,13.0,3805.0,5836.0,5.0,0.0,2022-05-26T17:22:13Z,https://github.com/norman/friendly_id,5836.0,188
67,1.0,1792,2014-10-26T16:30:37Z,572.0,1.0,MIT License,AlaSQL/alasql,456.0,91985.0,5865.0,0.0,0.0,2022-05-26T22:01:54Z,https://github.com/AlaSQL/alasql,5865.0,69
68,1.0,97,2020-12-26T03:27:42Z,855.0,0.0,GNU General Public License v3.0,leiurayer/downkyi,151.0,103832.0,6101.0,0.0,0.0,2022-05-28T10:53:07Z,https://github.com/leiurayer/downkyi,6101.0,3
69,1.0,1600,2015-12-02T12:37:24Z,535.0,0.0,MIT License,exyte/Macaw,128.0,57767.0,5834.0,9.0,0.0,2022-05-22T21:56:54Z,https://github.com/exyte/Macaw,5834.0,46
70,1.0,30894,2014-03-03T16:08:07Z,1918.0,0.0,Apache License 2.0,h2oai/h2o-3,74.0,594116.0,5831.0,20.0,0.0,2022-05-27T20:00:05Z,https://github.com/h2oai/h2o-3,5831.0,226
71,1.0,574,2012-09-09T16:12:53Z,741.0,0.0,MIT License,b-ryan/powerline-shell,128.0,465.0,5834.0,9.0,246.0,2022-05-27T11:22:52Z,https://github.com/b-ryan/powerline-shell,5834.0,86
72,1.0,3311,2018-08-09T10:57:23Z,1252.0,1.0,GNU General Public License v3.0,paritytech/polkadot,554.0,1762776.0,5831.0,6.0,1534.0,2022-05-28T10:05:37Z,https://github.com/paritytech/polkadot,5831.0,181
73,1.0,3556,2014-09-29T12:50:46Z,393.0,0.0,Apache License 2.0,Unleash/unleash,39.0,61716.0,5832.0,15.0,490.0,2022-05-28T04:52:06Z,https://github.com/Unleash/unleash,5832.0,147
74,1.0,240,2019-09-25T13:36:25Z,286.0,0.0,Not Found,hakluke/how-to-exit-vim,89.0,805.0,5840.0,1.0,54.0,2022-05-28T07:13:55Z,https://github.com/hakluke/how-to-exit-vim,5840.0,77
75,1.0,1410,2020-12-31T05:47:19Z,317.0,0.0,Apache License 2.0,pyroscope-io/pyroscope,216.0,31248.0,5826.0,14.0,439.0,2022-05-28T03:18:24Z,https://github.com/pyroscope-io/pyroscope,5826.0,68
76,1.0,11169,2015-06-15T23:21:49Z,567.0,0.0,"BSD 3-Clause ""New"" or ""Revised"" License",nteract/nteract,171.0,43228.0,5825.0,12.0,1676.0,2022-05-27T22:43:59Z,https://github.com/nteract/nteract,5825.0,174
77,1.0,728,2015-03-07T12:09:12Z,636.0,1.0,MIT License,moroshko/react-autosuggest,254.0,8250.0,5832.0,5.0,663.0,2022-05-26T08:20:23Z,https://github.com/moroshko/react-autosuggest,5832.0,54
78,1.0,780,2015-08-14T14:11:55Z,1280.0,0.0,"BSD 2-Clause ""Simplified"" License",byt3bl33d3r/CrackMapExec,77.0,7048.0,5926.0,6.0,440.0,2022-05-28T04:56:15Z,https://github.com/byt3bl33d3r/CrackMapExec,5926.0,50
79,1.0,148,2016-09-15T12:30:34Z,3638.0,0.0,Not Found,miloyip/json-tutorial,85.0,7473.0,5976.0,0.0,140.0,2022-05-28T08:26:53Z,https://github.com/miloyip/json-tutorial,5976.0,8
80,1.0,104,2011-11-15T02:51:39Z,300.0,1.0,MIT License,holman/spark,14.0,59.0,5827.0,0.0,45.0,2022-05-21T03:17:27Z,https://github.com/holman/spark,5827.0,29
