,name,url,star_count,license,contributor_count,size,watchers_count,forks,github_pages,open_issues,topics_count,created_at,updated_at,allow_forking,licence
161,SecureAuthCorp/impacket,https://github.com/SecureAuthCorp/impacket,8669,Other,30,7877,8669,2607,False,219,10,2015-04-15T14:04:07Z,2022-04-07T14:23:31Z,True,
162,tweepy/tweepy,https://github.com/tweepy/tweepy,8659,MIT License,30,14433,8659,3929,False,64,3,2009-07-06T04:15:34Z,2022-04-07T13:18:55Z,True,
163,django-cms/django-cms,https://github.com/django-cms/django-cms,8651,"BSD 3-Clause ""New"" or ""Revised"" License",30,96547,8651,2767,False,264,6,2009-03-05T10:14:18Z,2022-04-07T09:37:33Z,True,
164,seatgeek/fuzzywuzzy,https://github.com/seatgeek/fuzzywuzzy,8639,GNU General Public License v2.0,30,336,8639,880,False,108,0,2011-07-08T19:32:34Z,2022-04-07T13:26:42Z,True,
165,eriklindernoren/Keras-GAN,https://github.com/eriklindernoren/Keras-GAN,8616,MIT License,14,90527,8616,3078,False,136,5,2017-07-11T16:24:53Z,2022-04-07T02:46:16Z,True,
166,pytest-dev/pytest,https://github.com/pytest-dev/pytest,8600,MIT License,30,28719,8600,2001,False,760,5,2015-06-15T20:28:27Z,2022-04-07T13:56:55Z,True,
167,mailpile/Mailpile,https://github.com/mailpile/Mailpile,8574,Other,30,25734,8574,1047,False,412,7,2011-10-30T23:45:22Z,2022-04-06T09:23:06Z,True,
168,facebookresearch/detr,https://github.com/facebookresearch/detr,8611,Apache License 2.0,23,13157,8611,1535,False,155,0,2020-05-26T23:54:52Z,2022-04-07T14:17:08Z,True,
169,s0md3v/Photon,https://github.com/s0md3v/Photon,8550,GNU General Public License v3.0,19,359,8550,1276,False,41,5,2018-03-30T19:38:22Z,2022-04-07T08:03:13Z,True,
170,encode/httpx,https://github.com/encode/httpx,8536,"BSD 3-Clause ""New"" or ""Revised"" License",30,5198,8536,570,True,41,4,2019-04-04T12:27:00Z,2022-04-07T13:59:15Z,True,
171,ultralytics/yolov3,https://github.com/ultralytics/yolov3,8520,GNU General Public License v3.0,30,9547,8520,3143,True,8,13,2018-08-26T08:57:20Z,2022-04-07T14:35:20Z,True,
172,EpistasisLab/tpot,https://github.com/EpistasisLab/tpot,8503,GNU Lesser General Public License v3.0,30,79030,8503,1464,True,247,14,2015-11-03T21:08:40Z,2022-04-07T13:48:50Z,True,
173,aws/serverless-application-model,https://github.com/aws/serverless-application-model,8475,Other,30,9756,8475,2173,False,248,8,2016-10-10T21:36:18Z,2022-04-07T10:13:54Z,True,
174,tiangolo/full-stack-fastapi-postgresql,https://github.com/tiangolo/full-stack-fastapi-postgresql,8556,MIT License,16,831,8556,1530,False,191,20,2019-02-23T15:08:34Z,2022-04-07T13:51:35Z,True,
175,Cadene/pretrained-models.pytorch,https://github.com/Cadene/pretrained-models.pytorch,8457,"BSD 3-Clause ""New"" or ""Revised"" License",20,532,8457,1791,False,92,6,2017-04-09T15:54:23Z,2022-04-07T06:55:36Z,True,
176,scrapinghub/portia,https://github.com/scrapinghub/portia,8444,Other,30,25514,8444,1361,False,124,0,2014-03-21T14:24:31Z,2022-04-06T20:06:04Z,True,
177,mementum/backtrader,https://github.com/mementum/backtrader,8470,GNU General Public License v3.0,30,22392,8470,2695,False,42,4,2015-01-10T07:14:52Z,2022-04-07T13:18:39Z,True,
178,httpie/http-prompt,https://github.com/httpie/http-prompt,8430,MIT License,28,736,8430,333,True,49,17,2016-04-06T07:24:35Z,2022-04-06T11:21:53Z,True,
179,pallets/jinja,https://github.com/pallets/jinja,8428,"BSD 3-Clause ""New"" or ""Revised"" License",30,6290,8428,1482,False,33,6,2010-10-17T13:41:17Z,2022-04-07T13:59:14Z,True,
180,keras-team/autokeras,https://github.com/keras-team/autokeras,8409,Apache License 2.0,30,45083,8409,1359,True,82,9,2017-11-19T23:18:20Z,2022-04-07T13:51:18Z,True,
181,aristocratos/bpytop,https://github.com/aristocratos/bpytop,8425,Apache License 2.0,30,1343,8425,338,False,65,0,2020-07-01T17:41:25Z,2022-04-07T09:24:47Z,True,
182,cyrus-and/gdb-dashboard,https://github.com/cyrus-and/gdb-dashboard,8377,MIT License,16,375,8377,631,False,11,19,2015-09-09T16:53:23Z,2022-04-07T14:09:00Z,True,
